query,species.name,db,sp,genus,family,order,class,phylum,kingdom
Hyalopterus pruni,Hyalopterus pruni,ncbi,Hyalopterus pruni,Hyalopterus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Hyperomyzus lactucae,Hyperomyzus lactucae,ncbi,Hyperomyzus lactucae,Hyperomyzus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Hyperomyzus pallidus,Hyperomyzus pallidus,ncbi,Hyperomyzus pallidus,Hyperomyzus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Linosiphon galiophagum,Linosiphon galiophagum,ncbi,Linosiphon galiophagum,Linosiphon,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Lipaphis erysimi,Lipaphis erysimi,ncbi,Lipaphis erysimi,Lipaphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Macrosiphum euphorbiae,Macrosiphum euphorbiae,ncbi,Macrosiphum euphorbiae,Macrosiphum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Macrosiphum rosae,Macrosiphum rosae,ncbi,Macrosiphum rosae,Macrosiphum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Megoura viciae,Megoura viciae,ncbi,Megoura viciae,Megoura,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Metopolophium,Metopolophium festucae,ncbi,NA,Metopolophium,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Metopolophium,Metopolophium frisicum,ncbi,NA,Metopolophium,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Metopolophium,Metopolophium fasciatum,ncbi,NA,Metopolophium,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Metopolophium albidum,Metopolophium albidum,ncbi,Metopolophium albidum,Metopolophium,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Metopolophium dirhodum,Metopolophium dirhodum,ncbi,Metopolophium dirhodum,Metopolophium,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Microlophium carnosum,Microlophium carnosum,ncbi,Microlophium carnosum,Microlophium,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Myzocallis,Myzocallis,ncbi,NA,Myzocallis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Myzocallis castanicola,Myzocallis castanicola,ncbi,Myzocallis castanicola,Myzocallis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Myzocallis coryli,Myzocallis coryli,ncbi,Myzocallis coryli,Myzocallis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Myzus ascalonicus,Myzus ascalonicus,ncbi,Myzus ascalonicus,Myzus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Myzus cerasi,Myzus cerasi,ncbi,Myzus cerasi,Myzus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Myzus certus,Myzus certus,ncbi,Myzus certus,Myzus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Myzus lythri,Myzus lythri,ncbi,Myzus lythri,Myzus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Myzus persicae,Myzus persicae,ncbi,Myzus persicae,Myzus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Diuraphis holcaphis,Diuraphis holcaphis,ncbi,Diuraphis holcaphis,Diuraphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
