query,species.name,db,sp,genus,family,order,class,phylum,kingdom
Malacosoma neustria,Malacosoma neustria,ncbi,Malacosoma neustria,Malacosoma,Lasiocampidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Poecilocampa populi,Poecilocampa populi,ncbi,Poecilocampa populi,Poecilocampa,Lasiocampidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Trichiura crataegi,Trichiura crataegi,ncbi,Trichiura crataegi,Trichiura,Lasiocampidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Celastrina argiolus,Celastrina argiolus,ncbi,Celastrina argiolus,Celastrina,Lycaenidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Leptotes pirithous,Leptotes pirithous,ncbi,Leptotes pirithous,Leptotes,Lycaenidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lycaena phlaeas,Lycaena phlaeas,ncbi,Lycaena phlaeas,Lycaena,Lycaenidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Plebejus argus,Plebejus argus,ncbi,Plebejus argus,Plebejus,Lycaenidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Polyommatus icarus,Polyommatus icarus,ncbi,Polyommatus icarus,Polyommatus,Lycaenidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Abrostola tripartita,Abrostola tripartita,ncbi,Abrostola tripartita,Abrostola,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Acronicta menyanthidis,Acronicta menyanthidis,ncbi,Acronicta menyanthidis,Acronicta,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrochola circellaris,Agrochola circellaris,ncbi,Agrochola circellaris,Agrochola,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrochola helvola,Agrochola helvola,ncbi,Agrochola helvola,Agrochola,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrochola litura,Agrochola litura,ncbi,Agrochola litura,Agrochola,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrochola lota,Agrochola lota,ncbi,Agrochola lota,Agrochola,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrochola lychnidis,Agrochola lychnidis,ncbi,Agrochola lychnidis,Agrochola,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrochola macilenta,Agrochola macilenta,ncbi,Agrochola macilenta,Agrochola,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrotis clavis,Agrotis clavis,ncbi,Agrotis clavis,Agrotis,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrotis exclamationis,Agrotis exclamationis,ncbi,Agrotis exclamationis,Agrotis,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrotis puta,Agrotis puta,ncbi,Agrotis puta,Agrotis,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agrotis ripae,Agrotis ripae,ncbi,Agrotis ripae,Agrotis,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Allophyes oxyacanthae,Allophyes oxyacanthae,ncbi,Allophyes oxyacanthae,Allophyes,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Amphipoea,Amphipoea,ncbi,NA,Amphipoea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Amphipoea crinanensis,Amphipoea crinanensis,ncbi,Amphipoea crinanensis,Amphipoea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Amphipoea fucosa,Amphipoea fucosa,ncbi,Amphipoea fucosa,Amphipoea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Amphipoea lucens,Amphipoea lucens,ncbi,Amphipoea lucens,Amphipoea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Amphipoea oculea,Amphipoea oculea,ncbi,Amphipoea oculea,Amphipoea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Amphipyra tragopoginis,Amphipyra tragopoginis,ncbi,Amphipyra tragopoginis,Amphipyra,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Anaplectoides prasina,Anaplectoides prasina,ncbi,Anaplectoides prasina,Anaplectoides,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Discestra trifolii,Discestra trifolii,ncbi,Anarta trifolii,Anarta,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apamea anceps,Apamea anceps,ncbi,Apamea anceps,Apamea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apamea crenata,Apamea crenata,ncbi,Apamea crenata,Apamea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apamea monoglypha,Apamea monoglypha,ncbi,Apamea monoglypha,Apamea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apamea remissa,Apamea remissa,ncbi,Apamea remissa,Apamea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apamea scolopacina,Apamea scolopacina,ncbi,Apamea scolopacina,Apamea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Aporophyla lutulenta,Aporophyla lutulenta,ncbi,Aporophyla lutulenta,Aporophyla,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Aporophyla nigra,Aporophyla nigra,ncbi,Aporophyla nigra,Aporophyla,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Asteroscopus sphinx,Asteroscopus sphinx,ncbi,Asteroscopus sphinx,Asteroscopus,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Atethmia centrago,Atethmia centrago,ncbi,Atethmia centrago,Atethmia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Autographa gamma,Autographa gamma,ncbi,Autographa gamma,Autographa,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Autographa pulchrina,Autographa pulchrina,ncbi,Autographa pulchrina,Autographa,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Axylia putris,Axylia putris,ncbi,Axylia putris,Axylia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Brachylomia viminalis,Brachylomia viminalis,ncbi,Brachylomia viminalis,Brachylomia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Caradrina morpheus,Caradrina morpheus,ncbi,Caradrina morpheus,Caradrina,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Celaena haworthii,Celaena haworthii,ncbi,Celaena haworthii,Celaena,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ceramica pisi,Melanchra pisi,ncbi,Ceramica pisi,Ceramica,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cerapteryx graminis,Cerapteryx graminis,ncbi,Cerapteryx graminis,Cerapteryx,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cerastis rubricosa,Cerastis rubricosa,ncbi,Cerastis rubricosa,Cerastis,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Charanyca trigrammica,Charanyca trigrammica,ncbi,Charanyca trigrammica,Charanyca,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Rusina ferruginea,Rusina ferruginea,ncbi,Charanyca ferruginea,Charanyca,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chortodes fluxa,Chortodes fluxa,ncbi,Chortodes fluxus,Chortodes,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chortodes pygmina,Chortodes pygmina,ncbi,Chortodes pygminus,Chortodes,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Coenophila subrosea,Coenophila subrosea,ncbi,Coenophila subrosea,Coenophila,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Colocasia coryli,Colocasia coryli,ncbi,Colocasia coryli,Colocasia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Conistra vaccinii,Conistra vaccinii,ncbi,Conistra vaccinii,Conistra,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cosmia pyralina,Cosmia pyralina,ncbi,Cosmia pyralina,Cosmia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cosmia trapezina,Cosmia trapezina,ncbi,Cosmia trapezina,Cosmia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cryphia domestica,Cryphia domestica,ncbi,Cryphia domestica,Cryphia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Dasypolia templi,Dasypolia templi,ncbi,Dasypolia templi,Dasypolia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Diachrysia chrysitis,Diachrysia chrysitis,ncbi,Diachrysia chrysitis,Diachrysia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Diarsia brunnea,Diarsia brunnea,ncbi,Diarsia brunnea,Diarsia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Diarsia dahlii,Diarsia dahlii,ncbi,Diarsia dahlii,Diarsia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Diarsia mendica,Diarsia mendica,ncbi,Diarsia mendica,Diarsia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Diarsia rubi,Diarsia rubi,ncbi,Diarsia rubi,Diarsia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Diloba caeruleocephala,Diloba caeruleocephala,ncbi,Diloba caeruleocephala,Diloba,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Dryobotodes eremita,Dryobotodes eremita,ncbi,Dryobotodes eremita,Dryobotodes,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eugnorisma glareosa,Eugnorisma glareosa,ncbi,Eugnorisma glareosa,Eugnorisma,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Euplexia lucipara,Euplexia lucipara,ncbi,Euplexia lucipara,Euplexia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupsilia transversa,Eupsilia transversa,ncbi,Eupsilia transversa,Eupsilia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Euxoa nigricans,Euxoa nigricans,ncbi,Euxoa nigricans,Euxoa,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Graphiphora augur,Graphiphora augur,ncbi,Graphiphora augur,Graphiphora,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hada plebeja,Hada plebeja,ncbi,Hada plebeja,Hada,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Celaena leucostigma,Celaena leucostigma,ncbi,Helotropha leucostigma,Helotropha,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hoplodrina,Hoplodrina,ncbi,NA,Hoplodrina,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hoplodrina ambigua,Hoplodrina ambigua,ncbi,Hoplodrina ambigua,Hoplodrina,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hoplodrina blanda,Hoplodrina blanda,ncbi,Hoplodrina blanda,Hoplodrina,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hoplodrina octogenaria,Hoplodrina alsines,ncbi,Hoplodrina octogenaria,Hoplodrina,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hydraecia micacea,Hydraecia micacea,ncbi,Hydraecia micacea,Hydraecia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lacanobia oleracea,Lacanobia oleracea,ncbi,Lacanobia oleracea,Lacanobia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lacanobia suasa,Lacanobia suasa,ncbi,Lacanobia suasa,Lacanobia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lacanobia thalassina,Lacanobia thalassina,ncbi,Lacanobia thalassina,Lacanobia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Leucania comma,Mythimna comma,ncbi,Leucania comma,Leucania,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Luperina testacea,Luperina testacea,ncbi,Luperina testacea,Luperina,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lycophotia porphyrea,Lycophotia porphyrea,ncbi,Lycophotia porphyrea,Lycophotia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mamestra brassicae,Mamestra brassicae,ncbi,Mamestra brassicae,Mamestra,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Melanchra persicariae,Melanchra persicariae,ncbi,Melanchra persicariae,Melanchra,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mesapamea secalis,Mesapamea secalis,ncbi,Mesapamea secalis,Mesapamea,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mesoligia furuncula,Mesoligia furuncula,ncbi,Mesoligia furuncula,Mesoligia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mniotype adusta,Mniotype adusta,ncbi,Mniotype adusta,Mniotype,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mythimna conigera,Mythimna conigera,ncbi,Mythimna conigera,Mythimna,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mythimna ferrago,Mythimna ferrago,ncbi,Mythimna ferrago,Mythimna,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mythimna impura,Mythimna impura,ncbi,Mythimna impura,Mythimna,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mythimna pallens,Mythimna pallens,ncbi,Mythimna pallens,Mythimna,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mythimna pudorina,Mythimna pudorina,ncbi,Mythimna pudorina,Mythimna,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mythimna turca,Mythimna turca,ncbi,Mythimna turca,Mythimna,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Noctua comes,Noctua comes,ncbi,Noctua comes,Noctua,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Noctua janthe,Noctua janthe,ncbi,Noctua janthe,Noctua,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Noctua pronuba,Noctua pronuba,ncbi,Noctua pronuba,Noctua,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ochropleura plecta,Ochropleura plecta,ncbi,Ochropleura plecta,Ochropleura,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Oligia,Oligia,ncbi,NA,Oligia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Oligia fasciuncula,Oligia fasciuncula,ncbi,Oligia fasciuncula,Oligia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Oligia latruncula,Oligia latruncula,ncbi,Oligia latruncula,Oligia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Oligia strigilis,Oligia strigilis,ncbi,Oligia strigilis,Oligia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Oligia versicolor,Oligia versicolor,ncbi,Oligia versicolor,Oligia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Omphaloscelis lunosa,Omphaloscelis lunosa,ncbi,Omphaloscelis lunosa,Omphaloscelis,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Orthosia,Orthosia munda,ncbi,NA,Orthosia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Orthosia cerasi,Orthosia cerasi,ncbi,Orthosia cerasi,Orthosia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Orthosia cruda,Orthosia cruda,ncbi,Orthosia cruda,Orthosia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Orthosia gothica,Orthosia gothica,ncbi,Orthosia gothica,Orthosia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Orthosia gracilis,Orthosia gracilis,ncbi,Orthosia gracilis,Orthosia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Orthosia incerta,Orthosia incerta,ncbi,Orthosia incerta,Orthosia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Orthosia miniosa,Orthosia miniosa,ncbi,Orthosia miniosa,Orthosia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Panolis flammea,Panolis flammea,ncbi,Panolis flammea,Panolis,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Papestra biren,Papestra biren,ncbi,Papestra biren,Papestra,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Phlogophora meticulosa,Phlogophora meticulosa,ncbi,Phlogophora meticulosa,Phlogophora,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Photedes minima,Photedes minima,ncbi,Photedes minima,Photedes,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Polymixis lichenea,Polymixis lichenea,ncbi,Polymixis lichenea,Polymixis,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Protodeltote pygarga,Protodeltote pygarga,ncbi,Protodeltote pygarga,Protodeltote,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Thalpophila matura,Thalpophila matura,ncbi,Thalpophila matura,Thalpophila,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Tholera decimalis,Tholera decimalis,ncbi,Tholera decimalis,Tholera,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthia,Xanthia aurago,ncbi,NA,Xanthia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthia icteritia,Xanthia icteritia,ncbi,Xanthia icteritia,Xanthia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthia togata,Xanthia togata,ncbi,Xanthia togata,Xanthia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xestia agathina,Xestia agathina,ncbi,Xestia agathina,Xestia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xestia baja,Xestia baja,ncbi,Xestia baja,Xestia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xestia c-nigrum,Xestia c-nigrum,ncbi,Xestia c-nigrum,Xestia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xestia ditrapezium,Xestia ditrapezium,ncbi,Xestia ditrapezium,Xestia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xestia sexstrigata,Xestia sexstrigata,ncbi,Xestia sexstrigata,Xestia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xestia triangulum,Xestia triangulum,ncbi,Xestia triangulum,Xestia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xestia xanthographa,Xestia xanthographa,ncbi,Xestia xanthographa,Xestia,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xylocampa areola,Xylocampa areola,ncbi,Xylocampa areola,Xylocampa,Noctuidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Nola confusalis,Nola confusalis,ncbi,Nola confusalis,Nola,Nolidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Nola cucullatella,Nola cucullatella,ncbi,Nola cucullatella,Nola,Nolidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Drymonia dodonaea,Drymonia dodonaea,ncbi,Drymonia dodonaea,Drymonia,Notodontidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Peridea anceps,Peridea anceps,ncbi,Peridea anceps,Peridea,Notodontidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Phalera bucephala,Phalera bucephala,ncbi,Phalera bucephala,Phalera,Notodontidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pheosia gnoma,Pheosia gnoma,ncbi,Pheosia gnoma,Pheosia,Notodontidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ptilodon capucina,Ptilodon capucina,ncbi,Ptilodon capucinus,Ptilodon,Notodontidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apatura iris,Apatura iris,ncbi,Apatura iris,Apatura,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Coenonympha pamphilus,Coenonympha pamphilus,ncbi,Coenonympha pamphilus,Coenonympha,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Melanargia lachesis,Melanargia lachesis,ncbi,Melanargia lachesis,Melanargia,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Aglais urticae,Aglais urticae,ncbi,Nymphalis urticae,Nymphalis,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Inachis io,Inachis io,ncbi,Nymphalis io,Nymphalis,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Polygonia c-album,Polygonia c-album,ncbi,Nymphalis c-album,Nymphalis,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pararge aegeria,Pararge aegeria,ncbi,Pararge aegeria,Pararge,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cynthia cardui,Cynthia cardui,ncbi,Vanessa cardui,Vanessa,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Vanessa atalanta,Vanessa atalanta,ncbi,Vanessa atalanta,Vanessa,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hofmannophila pseudospretella,Hofmannophila pseudospretella,ncbi,Hofmannophila pseudospretella,Hofmannophila,Oecophoridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Carcina quercana,Carcina quercana,ncbi,Carcina quercana,Carcina,Peleopodidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Anthocharis cardamines,Anthocharis cardamines,ncbi,Anthocharis cardamines,Anthocharis,Pieridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Colias croceus,Colias croceus,ncbi,Colias croceus,Colias,Pieridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Gonepteryx rhamni,Gonepteryx rhamni,ncbi,Gonepteryx rhamni,Gonepteryx,Pieridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pieris napi,Pieris napi,ncbi,Pieris napi,Pieris,Pieridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pieris rapae,Pieris rapae,ncbi,Pieris rapae,Pieris,Pieridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Plutella xylostella,Plutella xylostella,ncbi,Plutella xylostella,Plutella,Plutellidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Endotricha flammealis,Endotricha flammealis,ncbi,Endotricha flammealis,Endotricha,Pyralidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hypsopygia costalis,Hypsopygia costalis,ncbi,Hypsopygia costalis,Hypsopygia,Pyralidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Tinea semifulvella,Tinea semifulvella,ncbi,Tinea semifulvella,Tinea,Tineidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Acleris laterana,Acleris laterana,ncbi,Acleris laterana,Acleris,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Acleris rhombana,Acleris rhombana,ncbi,Acleris rhombana,Acleris,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Acleris variegana,Acleris variegana,ncbi,Acleris variegana,Acleris,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agapeta hamana,Agapeta hamana,ncbi,Agapeta hamana,Agapeta,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ancylis badiana,Ancylis badiana,ncbi,Ancylis badiana,Ancylis,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Archips oporana,Archips oporana,ncbi,Archips oporana,Archips,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Celypha lacunana,Celypha lacunana,ncbi,Celypha lacunana,Celypha,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Celypha striana,Celypha striana,ncbi,Celypha striana,Celypha,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Clepsis consimilana,Clepsis consimilana,ncbi,Clepsis consimilana,Clepsis,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cnephasia incertana,Cnephasia incertana,ncbi,Cnephasia incertana,Cnephasia,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Epiphyas postvittana,Epiphyas postvittana,ncbi,Epiphyas postvittana,Epiphyas,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hedya nubiferana,Hedya nubiferana,ncbi,Hedya nubiferana,Hedya,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Notocelia cynosbatella,Notocelia cynosbatella,ncbi,Notocelia cynosbatella,Notocelia,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Notocelia roborana,Notocelia roborana,ncbi,Notocelia roborana,Notocelia,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Notocelia rosaecolana,Notocelia rosaecolana,ncbi,Notocelia rosaecolana,Notocelia,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pandemis heparana,Pandemis heparana,ncbi,Pandemis heparana,Pandemis,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Tortricodes alternella,Tortricodes alternella,ncbi,Tortricodes alternella,Tortricodes,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Tortrix viridana,Tortrix viridana,ncbi,Tortrix viridana,Tortrix,Tortricidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Sialis lutaria,Sialis lutaria,ncbi,Sialis lutaria,Sialis,Sialidae,Megaloptera,Insecta,Arthropoda,Metazoa
Frankliniella fusca,Thysanoptera,ncbi,Frankliniella fusca,Frankliniella,Thripidae,Thysanoptera,Insecta,Arthropoda,Metazoa
Engraulis japonicus,Engraulis japonicus,ncbi,Engraulis japonicus,Engraulis,Engraulidae,Clupeiformes,Actinopteri,Chordata,Metazoa
Rutilus rutilus,Rutilus rutilus,ncbi,Rutilus rutilus,Rutilus,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Metazoa
Perca fluviatilis,Perca fluviatilis,ncbi,Perca fluviatilis,Perca,Percidae,Perciformes,Actinopteri,Chordata,Metazoa
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,ncbi,Oncorhynchus gorbuscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Metazoa
Salmo salar,Salmo salar,ncbi,Salmo salar,Salmo,Salmonidae,Salmoniformes,Actinopteri,Chordata,Metazoa
Salmo trutta,Salmo trutta,ncbi,Salmo trutta,Salmo,Salmonidae,Salmoniformes,Actinopteri,Chordata,Metazoa
Ammodytes marinus,Ammodytes marinus,ncbi,Ammodytes marinus,Ammodytes,Ammodytidae,Uranoscopiformes,Actinopteri,Chordata,Metazoa
Bufo boreas,Bufo boreas,ncbi,Anaxyrus boreas,Anaxyrus,Bufonidae,Anura,Amphibia,Chordata,Metazoa
Bufo fowleri,Bufo fowleri,ncbi,Anaxyrus fowleri,Anaxyrus,Bufonidae,Anura,Amphibia,Chordata,Metazoa
Bufo terrestris,Bufo terrestris,ncbi,Anaxyrus terrestris,Anaxyrus,Bufonidae,Anura,Amphibia,Chordata,Metazoa
Bufo woodhousii,Bufo woodhousii,ncbi,Anaxyrus woodhousii,Anaxyrus,Bufonidae,Anura,Amphibia,Chordata,Metazoa
Bufo bufo,Bufo bufo,ncbi,Bufo bufo,Bufo,Bufonidae,Anura,Amphibia,Chordata,Metazoa
Bufo calamita,Bufo calamita,ncbi,Epidalea calamita,Epidalea,Bufonidae,Anura,Amphibia,Chordata,Metazoa
Bufo valliceps,Bufo valliceps,ncbi,Incilius valliceps,Incilius,Bufonidae,Anura,Amphibia,Chordata,Metazoa
Acris crepitans,Acris crepitans,ncbi,Acris crepitans,Acris,Hylidae,Anura,Amphibia,Chordata,Metazoa
